Time_Soln#26 (sec),Volume_Soln#26 (cm3),Volumetric_heat_production_rate_Soln#26 (erg/cm3-sec),Surface_temperature_Soln#26 (K),Temperature_Soln#26 (K),Mass_Soln#26 (g),Pressure_Soln#26 (atm),Mole_fraction_H2_Soln#26 (),Mole_fraction_H_Soln#26 (),Mole_fraction_CH4_Soln#26 (),Mole_fraction_CH3_Soln#26 (),Mole_fraction_CH2_Soln#26 (),Mole_fraction_C2H6_Soln#26 (),Mole_fraction_C2H5_Soln#26 (),Mole_fraction_C2H4_Soln#26 (),Mole_fraction_C2H3_Soln#26 (),Mole_fraction_C2H2_Soln#26 (),Mole_fraction_C3H8_Soln#26 (),Mole_fraction_IC3H7_Soln#26 (),Mole_fraction_NC3H7_Soln#26 (),Mole_fraction_C3H6_Soln#26 (),Mole_fraction_C3H5-A_Soln#26 (),Mole_fraction_C3H5-T_Soln#26 (),Mole_fraction_C3H4-P_Soln#26 (),Mole_fraction_C3H4-A_Soln#26 (),Mole_fraction_C3H3_Soln#26 (),Mole_fraction_C3H2_Soln#26 (),Mole_fraction_NC4H10_Soln#26 (),Mole_fraction_PC4H9_Soln#26 (),Mole_fraction_C4H8-1_Soln#26 (),Mole_fraction_C4H8-2_Soln#26 (),Mole_fraction_C4H71-3_Soln#26 (),Mole_fraction_C4H6_Soln#26 (),Mole_fraction_C4H5_Soln#26 (),Mole_fraction_C4H4_Soln#26 (),Mole_fraction_C4H2_Soln#26 (),Mole_fraction_C6H6_Soln#26 (),Mole_fraction_C5H6_Soln#26 (),Mole_fraction_C10H8_Soln#26 (),Mole_fraction_NC5H12_Soln#26 (),Mole_fraction_NC5H11_Soln#26 (),Mole_fraction_NC5H10_Soln#26 (),Mole_fraction_LC5H8_Soln#26 (),Mole_fraction_NC6H12_Soln#26 (),Mole_fraction_NC7H15_Soln#26 (),Mole_fraction_NC7H14_Soln#26 (),Mole_fraction_C7H8_Soln#26 (),Mole_fraction_C7H7_Soln#26 (),Mole_fraction_C6H5C2H_Soln#26 (),Mole_fraction_C12H8_Soln#26 (),Mole_fraction_C14H10_Soln#26 (),Mole_fraction_BIN1B_Soln#26 (),Mole_fraction_NC10H21_Soln#26 (),Mole_fraction_NC12H25_Soln#26 (),Mole_fraction_NC12H26_Soln#26 (),Mole_fraction_NC16H34_Soln#26 (),Mole_fraction_NC10H20_Soln#26 (),Molecular_weight_Soln#26 (g/mole),Mass_density_Soln#26 (g/cm3),Unburned_hydrocarbons_Soln#26 (ppm),Volatile_organic_compounds_Soln#26 (ppm)
0.0,15.7,-2.192696E15,2250.0,2250.0,8.022588E-4,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,5.109929E-5,535064.1,535064.1
4.433053E-14,15.69991,-2.193688E15,2249.974,2249.974,8.022588E-4,1.0,0.9514544,1.132284E-9,5.814289E-17,7.128749E-10,2.365955E-21,7.633773E-14,9.514642E-7,2.012335E-9,2.79376E-12,4.030524E-16,4.564653E-14,3.098969E-12,9.51325E-7,2.626665E-9,6.027105E-7,2.579334E-18,1.165944E-15,3.428279E-14,2.724665E-17,1.431464E-27,2.991382E-14,9.516175E-7,1.196184E-9,1.231684E-14,6.025831E-7,9.567772E-11,1.145469E-19,3.056774E-18,3.275546E-19,2.015012E-18,1.725187E-24,4.770678E-29,2.503929E-18,1.429184E-6,1.290318E-9,8.467403E-19,2.238549E-10,3.31147E-6,9.61603E-10,0.004080985,3.458059E-11,5.084662E-35,6.135909E-49,8.279423E-22,2.268944E-41,8.205803E-7,1.691727E-6,0.01103091,0.006637696,0.02678441,9.434371,5.109959E-5,535061.0,535061.0
3.345059E-12,15.6934,-2.257982E15,2247.977,2247.977,8.022588E-4,1.0,0.9510045,5.909576E-6,2.16931E-11,3.855075E-6,8.820303E-16,4.583373E-10,7.795545E-5,1.083203E-5,1.737638E-8,3.727719E-12,2.722966E-10,1.843187E-8,7.715765E-5,1.419703E-5,4.507346E-5,2.947444E-14,1.403403E-11,2.007695E-10,1.007041E-11,3.366996E-20,1.807983E-10,7.870163E-5,6.452739E-6,7.817418E-11,4.436708E-5,5.329963E-7,4.394248E-14,9.361125E-13,1.841672E-15,5.675763E-13,4.288706E-17,1.06676E-21,1.128226E-12,1.021434E-4,6.954713E-6,1.737503E-12,1.201515E-6,2.304251E-4,5.168023E-6,0.004079052,2.607E-9,2.369004E-27,3.087933E-36,4.690017E-18,5.473795E-34,5.858524E-5,1.167632E-4,0.01085196,0.006473219,0.02668634,9.42991,5.112079E-5,534808.0,534808.0
3.958261E-11,15.65505,-2.252756E15,2225.048,2225.048,8.022588E-4,1.0,0.9436105,5.07924E-4,2.35945E-8,3.236154E-4,1.664355E-12,8.491707E-8,0.001336179,8.639199E-4,3.44039E-6,2.175097E-9,5.142109E-8,3.155199E-6,0.001239435,0.00116878,4.922985E-4,1.872519E-10,8.205634E-9,3.209507E-8,1.205052E-8,3.129946E-15,3.387218E-8,0.001345348,5.240061E-4,1.780296E-8,4.15986E-4,5.945233E-5,1.21897E-10,1.107065E-9,2.252029E-13,6.43522E-10,5.055686E-13,1.562723E-17,3.907339E-9,6.481148E-4,5.550394E-4,1.448872E-8,9.39872E-5,0.001222429,4.053309E-4,0.004047292,3.508218E-8,2.331802E-22,6.45722E-29,7.482021E-16,1.185022E-29,3.570297E-4,5.691905E-4,0.009196691,0.0050301,0.02587916,9.356591,5.124602E-5,530649.8,530649.8
1.181442E-10,15.62333,-1.484499E15,2185.448,2185.448,8.022588E-4,1.0,0.9287,0.001995613,3.045146E-7,0.001228252,5.192719E-11,7.790875E-7,0.00395661,0.003074612,2.784242E-5,3.456321E-8,5.653232E-7,2.608193E-5,0.003465868,0.004268674,0.001300337,8.5208E-9,8.432333E-8,2.685941E-7,1.762116E-7,5.460863E-13,3.076235E-7,0.00380598,0.001897115,1.750647E-7,8.593834E-4,3.528653E-4,6.21428E-9,1.591392E-8,1.586444E-12,8.891155E-9,2.188594E-11,7.183612E-16,1.177975E-7,5.99697E-4,0.001904675,3.550878E-7,3.300283E-4,0.001030747,0.001396461,0.003983142,1.544528E-7,3.94771E-20,8.859792E-26,1.079477E-14,1.749581E-27,2.913556E-4,4.173608E-4,0.006969323,0.003301444,0.02471432,9.208725,5.135005E-5,522263.7,522263.7
2.717724E-10,15.57164,-7.980564E14,2140.317,2140.317,8.022588E-4,1.0,0.9125493,0.003971807,1.470339E-6,0.002319296,4.508606E-10,3.306363E-6,0.006839174,0.005437635,9.668456E-5,2.374461E-7,3.11767E-6,9.847398E-5,0.005691086,0.007591331,0.002514711,8.134755E-8,3.195788E-7,1.123549E-6,9.581132E-7,1.48431E-11,1.31712E-6,0.006306292,0.003368809,7.816966E-7,0.001200694,0.001070065,8.774451E-8,8.468488E-8,6.424386E-12,4.67827E-8,3.403072E-10,9.512785E-15,9.507022E-7,3.333265E-4,0.003069058,2.270689E-6,5.752675E-4,5.834492E-4,0.00234271,0.003913196,5.374772E-7,1.770286E-18,1.92674E-23,9.608407E-14,1.113155E-25,1.308519E-4,1.958742E-4,0.004811981,0.001877496,0.02301385,9.048497,5.152052E-5,513176.5,513176.5
6.167081E-10,15.48083,-3.858679E14,2089.04,2089.04,8.022588E-4,1.0,0.8959408,0.006550682,5.413066E-6,0.003579399,2.556822E-9,1.112832E-5,0.009751372,0.00778714,2.45314E-4,1.346619E-6,1.426318E-5,2.845393E-4,0.007578541,0.01066124,0.004370419,4.85885E-7,8.840992E-7,4.014001E-6,3.763891E-6,2.341822E-10,4.615806E-6,0.008546477,0.00473469,2.841311E-6,0.001313099,0.002521099,8.117566E-7,3.241106E-7,2.541322E-11,1.925815E-7,4.152115E-9,9.303615E-14,4.925031E-6,1.605351E-4,0.003678095,9.649905E-6,7.904926E-4,2.925062E-4,0.003050862,0.003839723,1.783157E-6,6.769071E-17,3.089662E-21,7.749983E-13,6.564265E-24,4.392168E-5,7.206847E-5,0.002830783,8.335385E-4,0.02040699,8.883519,5.182272E-5,503820.0,503820.0
1.164547E-9,15.38601,-2.110038E14,2046.857,2046.857,8.022588E-4,1.0,0.8833214,0.008926541,1.346467E-5,0.004748277,8.392381E-9,2.571215E-5,0.01186088,0.009699285,4.315965E-4,4.669984E-6,4.213158E-5,5.634826E-4,0.00855925,0.01270998,0.00623759,1.60437E-6,1.724615E-6,1.012131E-5,9.036679E-6,1.516609E-9,1.128424E-5,0.009849155,0.005637317,7.113206E-6,0.001191792,0.004194579,3.630552E-6,7.623715E-7,7.872218E-11,5.230026E-7,2.393904E-8,4.864217E-13,1.441715E-5,8.934888E-5,0.003687146,2.493074E-5,9.151833E-4,1.657921E-4,0.003366336,0.003781004,4.336794E-6,1.090945E-15,1.299084E-19,3.650731E-12,1.427622E-22,1.613784E-5,2.84758E-5,0.001643697,3.619268E-4,0.01777479,8.75778,5.214208E-5,496688.8,496688.8
2.260225E-9,15.27385,-1.093525E14,2002.04,2002.04,8.022588E-4,1.0,0.8704719,0.01148906,3.342018E-5,0.006398686,2.743311E-8,5.75261E-5,0.01379638,0.0121536,7.151136E-4,1.586249E-5,1.198119E-4,0.001024642,0.00897176,0.01455994,0.008420209,4.880705E-6,3.290535E-6,2.526866E-5,1.937464E-5,8.52525E-9,2.733068E-5,0.01059997,0.006409598,1.740757E-5,9.544479E-4,0.006282833,1.429645E-5,1.61241E-6,2.900001E-10,1.378059E-6,1.239017E-7,2.662686E-12,3.852746E-5,4.924868E-5,0.003353547,5.881982E-5,9.963993E-4,9.071134E-5,0.003479733,0.00371496,1.045024E-5,1.927604E-14,5.298157E-18,1.73633E-11,3.289164E-21,5.260728E-6,9.386862E-6,8.100602E-4,1.220117E-4,0.01460546,8.62893,5.2525E-5,489381.2,489381.2
2.681788E-9,15.24443,-9.182865E13,1990.503,1990.503,8.022588E-4,1.0,0.8671857,0.01210764,4.219846E-5,0.006956807,3.729082E-8,7.016735E-5,0.01422928,0.01293814,8.106202E-4,2.15675E-5,1.545749E-4,0.001173285,0.008961025,0.01500262,0.008985918,6.373526E-6,3.880928E-6,3.171201E-5,2.307537E-5,1.285878E-8,3.40932E-5,0.01066499,0.006579365,2.16955E-5,8.892525E-4,0.006847609,1.975813E-5,1.920714E-6,4.161082E-10,1.748572E-6,1.837825E-7,4.145181E-12,4.871245E-5,4.241488E-5,0.003230845,7.186975E-5,0.001008782,7.753878E-5,0.003476758,0.003696349,1.299122E-5,4.027129E-14,1.336219E-17,2.574787E-11,7.320447E-21,3.974113E-6,6.889058E-6,6.57792E-4,8.859238E-5,0.01374271,8.595758,5.262636E-5,487499.9,487499.9
3.075837E-9,15.22113,-7.967799E13,1981.295,1981.295,8.022588E-4,1.0,0.8645525,0.01257593,5.091124E-5,0.007461972,4.782291E-8,8.208464E-5,0.01454935,0.01363153,8.965834E-4,2.755119E-5,1.887058E-4,0.001300377,0.008914646,0.01535082,0.009430195,7.847656E-6,4.433724E-6,3.793449E-5,2.639277E-5,1.770371E-8,4.061157E-5,0.01067207,0.006706176,2.579484E-5,8.38053E-4,0.007301825,2.539079E-5,2.201543E-6,5.595898E-10,2.108848E-6,2.499437E-7,5.923155E-12,5.848947E-5,3.766878E-5,0.00312624,8.386858E-5,0.001016117,6.833038E-5,0.003465594,0.003680749,1.542082E-5,7.261608E-14,2.778917E-17,3.523409E-11,1.38782E-20,3.203478E-6,5.338889E-6,5.521068E-4,6.768132E-5,0.01304326,8.56909,5.27069E-5,485987.4,485987.4
3.743672E-9,15.18862,-6.47843E13,1968.198,1968.198,8.022588E-4,1.0,0.8607737,0.0131895,6.676023E-5,0.008295155,6.871168E-8,1.02418E-4,0.01495774,0.0147439,0.001037526,3.907665E-5,2.492459E-4,0.001493057,0.00878724,0.01584281,0.01004258,1.04773E-5,5.379129E-6,4.880327E-5,3.172786E-5,2.758521E-8,5.198108E-5,0.01060582,0.006872715,3.286721E-5,7.675241E-4,0.007950167,3.590214E-5,2.666051E-6,8.635407E-10,2.74294E-6,3.833113E-7,9.912553E-12,7.543558E-5,3.181587E-5,0.00297042,1.036255E-4,0.001022561,5.692829E-5,0.003436484,0.003657131,1.961779E-5,1.687577E-13,7.820408E-17,5.505676E-11,3.465247E-20,2.400047E-6,3.664725E-6,4.238182E-4,4.507553E-5,0.01203342,8.530669,5.281973E-5,483808.4,483808.4
4.635818E-9,15.15509,-5.143671E13,1954.144,1954.144,8.022588E-4,1.0,0.8566482,0.0137561,8.999323E-5,0.009379716,1.029615E-7,1.29705E-4,0.0153193,0.01614127,0.001219844,5.708968E-5,3.336645E-4,0.001712851,0.008564317,0.01637371,0.01065976,1.416748E-5,6.669121E-6,6.37388E-5,3.836309E-5,4.383206E-8,6.757997E-5,0.01042157,0.007031972,4.242066E-5,6.958312E-4,0.008644851,5.143464E-5,3.275173E-6,1.397869E-9,3.622835E-6,5.999327E-7,1.742905E-11,9.847962E-5,2.649427E-5,0.002798378,1.287224E-4,0.001024053,4.655856E-5,0.003387858,0.003629441,2.530747E-5,4.212809E-13,2.361459E-16,8.91027E-11,9.365882E-20,1.812664E-6,2.397361E-6,3.118737E-4,2.813355E-5,0.01093223,8.488492,5.293658E-5,481416.4,481416.4
