Time_Soln#16 (sec),Volume_Soln#16 (cm3),Volumetric_heat_production_rate_Soln#16 (erg/cm3-sec),Surface_temperature_Soln#16 (K),Temperature_Soln#16 (K),Mass_Soln#16 (g),Pressure_Soln#16 (atm),Mole_fraction_H2_Soln#16 (),Mole_fraction_H_Soln#16 (),Mole_fraction_CH4_Soln#16 (),Mole_fraction_CH3_Soln#16 (),Mole_fraction_C2H4_Soln#16 (),Mole_fraction_C2H2_Soln#16 (),Mole_fraction_C3H4-P_Soln#16 (),Mole_fraction_C4H2_Soln#16 (),Mole_fraction_C6H6_Soln#16 (),Mole_fraction_C10H8_Soln#16 (),Mole_fraction_C7H8_Soln#16 (),Mole_fraction_C7H7_Soln#16 (),Mole_fraction_C6H5C2H_Soln#16 (),Mole_fraction_C6H5C2H3_Soln#16 (),Mole_fraction_C6H5C2H5_Soln#16 (),Mole_fraction_C12H8_Soln#16 (),Mole_fraction_BIPHENYL_Soln#16 (),Mole_fraction_C14H10_Soln#16 (),Mole_fraction_BIN1B_Soln#16 (),Mole_fraction_BIN1A_Soln#16 (),Molecular_weight_Soln#16 (g/mole),Mass_density_Soln#16 (g/cm3),Unburned_hydrocarbons_Soln#16 (ppm),Volatile_organic_compounds_Soln#16 (ppm)
0.0,15.7,-1.39866E11,1750.0,1750.0,0.00115975,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,10.60769,7.38694E-5,668660.8,668660.8
1.894512E-9,15.69963,-1.39682E11,1749.936,1749.936,0.00115975,1.0,0.9128428,9.582972E-7,1.514256E-8,9.99952E-6,3.46274E-9,4.157698E-8,2.15524E-13,2.113824E-12,4.264928E-8,1.59911E-17,0.02851618,1.087845E-5,2.210406E-9,0.04210728,0.0165117,8.984008E-19,3.354612E-17,6.108637E-12,1.32502E-22,2.306325E-13,10.60755,7.387116E-5,668652.4,668652.4
3.382511E-8,15.69338,-1.371912E11,1748.872,1748.872,0.00115975,1.0,0.9126743,1.887032E-5,4.704712E-6,1.724262E-4,7.337332E-7,8.564813E-7,2.358546E-10,1.481992E-9,1.320967E-6,8.734298E-14,0.02849395,1.925252E-4,5.297972E-7,0.04212178,0.01631413,4.83754E-15,4.04028E-13,2.33483E-9,1.863039E-17,6.204559E-11,10.60532,7.390056E-5,668511.8,668511.8
2.382018E-7,15.65629,-1.225641E11,1742.48,1742.48,0.00115975,1.0,0.911537,1.878486E-4,2.001282E-4,9.795013E-4,5.276514E-5,1.485474E-5,4.607588E-8,3.172559E-7,6.15565E-5,9.597318E-11,0.02830505,0.001295474,2.698673E-5,0.04213209,0.01511749,1.559585E-12,2.395332E-9,2.175366E-7,2.437677E-13,3.387784E-9,10.59159,7.407562E-5,667646.2,667646.2
9.983068E-7,15.57306,-5.793511E10,1726.129,1726.129,0.00115975,1.0,0.9071878,6.162243E-4,0.002148433,0.002059618,9.551916E-4,2.726499E-4,1.584502E-6,9.555754E-6,0.001404734,4.827339E-8,0.02729998,0.004460182,4.504593E-4,0.04110992,0.01145305,2.020084E-10,6.224951E-7,5.605715E-6,3.131239E-10,7.130873E-8,10.54828,7.447154E-5,664916.0,664916.0
1.993061E-6,15.55176,-1.78804E10,1718.069,1718.069,0.00115975,1.0,0.9024899,5.945771E-4,0.005151012,0.001999016,0.002459246,7.783917E-4,7.141294E-6,2.936331E-5,0.004017108,6.324396E-7,0.02667966,0.006371278,0.00115005,0.03916566,0.00816675,6.300592E-9,3.414961E-6,1.781937E-5,4.326005E-9,3.291183E-7,10.5134,7.457351E-5,662717.7,662717.8
2.015056E-6,15.55176,-1.744865E10,1717.976,1717.976,0.00115975,1.0,0.9023994,5.925402E-4,0.005213239,0.001992539,0.002489362,7.891362E-4,7.298077E-6,2.982074E-5,0.004072287,6.56366E-7,0.02667448,0.00639501,0.001164164,0.0391249,0.008108498,6.62938E-9,3.490989E-6,1.810318E-5,4.481687E-9,3.37525E-7,10.51283,7.45735E-5,662681.7,662681.8
2.069261E-6,15.55182,-1.643388E10,1717.756,1717.756,0.00115975,1.0,0.9021786,5.87476E-4,0.005365513,0.001976222,0.002562883,8.154616E-4,7.689081E-6,3.094966E-5,0.004207409,7.176995E-7,0.02666278,0.006451122,0.001198645,0.03902507,0.007967094,7.490513E-9,3.679963E-6,1.8803E-5,4.878173E-9,3.587747E-7,10.51145,7.457325E-5,662594.6,662594.7
2.289413E-6,15.5526,-1.29435E10,1716.985,1716.985,0.00115975,1.0,0.9013126,5.666693E-4,0.005967711,0.001906122,0.002851402,9.200744E-4,9.338927E-6,3.555699E-5,0.004743217,1.002369E-6,0.02662922,0.006647279,0.001334334,0.03862894,0.00742272,1.178355E-8,4.468218E-6,2.164659E-5,6.675356E-9,4.528924E-7,10.5062,7.45695E-5,662263.7,662263.8
2.335664E-6,15.55286,-1.232177E10,1716.844,1716.844,0.00115975,1.0,0.9011367,5.623085E-4,0.006090846,0.001890856,0.002909994,9.415758E-4,9.696986E-6,3.652933E-5,0.00485309,1.069628E-6,0.02662468,0.006682614,0.001361967,0.03854763,0.007314133,1.285878E-8,4.637527E-6,2.224351E-5,7.090965E-9,4.742656E-7,10.50517,7.456824E-5,662198.5,662198.6
