Time_Soln#5 (sec),Volume_Soln#5 (cm3),Volumetric_heat_production_rate_Soln#5 (erg/cm3-sec),Surface_temperature_Soln#5 (K),Temperature_Soln#5 (K),Mass_Soln#5 (g),Pressure_Soln#5 (atm),Mole_fraction_H2_Soln#5 (),Mole_fraction_CH4_Soln#5 (),Mole_fraction_C2H6_Soln#5 (),Mole_fraction_C2H4_Soln#5 (),Mole_fraction_C2H2_Soln#5 (),Mole_fraction_C4H6_Soln#5 (),Mole_fraction_C6H6_Soln#5 (),Mole_fraction_C10H8_Soln#5 (),Mole_fraction_C7H8_Soln#5 (),Mole_fraction_C7H7_Soln#5 (),Mole_fraction_STILB_Soln#5 (),Mole_fraction_C6H5C2H_Soln#5 (),Mole_fraction_C6H5C2H3_Soln#5 (),Mole_fraction_C6H5C2H5_Soln#5 (),Mole_fraction_C6H5CHCH3_Soln#5 (),Mole_fraction_BIPHENYL_Soln#5 (),Mole_fraction_C14H10_Soln#5 (),Mole_fraction_C16H10_Soln#5 (),Mole_fraction_C6H5C2H4C6H5_Soln#5 (),Mole_fraction_BIN1A_Soln#5 (),Molecular_weight_Soln#5 (g/mole),Mass_density_Soln#5 (g/cm3),Unburned_hydrocarbons_Soln#5 (ppm),Volatile_organic_compounds_Soln#5 (ppm)
0.0,15.7,-5.487972E7,1200.0,1200.0,0.001691301,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,0.0,0.0,0.0,10.60769,1.077262E-4,668660.8,668660.8
3.792659E-7,15.69996,-5.346816E7,1199.996,1199.996,0.001691301,1.0,0.9128522,2.987698E-8,1.277401E-11,2.745968E-9,1.133042E-9,7.055257E-14,4.352985E-9,6.489169E-19,0.02851742,6.035822E-7,2.295907E-11,2.499801E-10,0.04210631,0.01652286,1.185613E-8,3.821946E-17,1.201796E-11,1.035231E-12,4.098469E-12,4.39565E-13,10.60768,1.077265E-4,668660.4,668660.4
3.551289E-6,15.69968,-4.168719E7,1199.969,1199.969,0.001691301,1.0,0.9128467,2.03824E-6,7.98761E-9,4.406229E-7,4.144891E-8,9.516701E-12,6.366509E-7,7.494624E-15,0.02851688,5.884663E-6,1.011847E-8,7.232779E-8,0.04210481,0.01651709,1.310527E-6,4.103193E-13,2.501591E-9,2.803307E-10,6.274839E-10,1.189515E-10,10.60763,1.077284E-4,668657.4,668657.4
1.993128E-5,15.6986,-3.467504E7,1199.865,1199.865,0.001691301,1.0,0.9128062,2.758683E-5,2.843141E-7,1.239996E-5,1.08813E-6,4.972216E-10,1.654123E-5,6.113442E-12,0.02850863,3.62733E-5,3.069589E-7,1.826003E-6,0.04207877,0.0164841,1.755262E-5,8.237381E-11,7.38326E-8,7.073423E-9,6.140152E-8,2.989354E-9,10.60744,1.077358E-4,668644.9,668644.9
8.637895E-5,15.6953,-2.880594E7,1199.464,1199.464,0.001691301,1.0,0.912541,1.592201E-4,3.155716E-6,1.479079E-4,1.28073E-5,3.744708E-8,1.9434E-4,8.485853E-10,0.02845086,1.514913E-4,3.711582E-6,2.070395E-5,0.04191241,0.01632374,6.042378E-5,6.450649E-9,1.025693E-6,8.299387E-8,4.09685E-6,3.469791E-8,10.60613,1.077585E-4,668562.4,668562.4
1.0E-4,15.69488,-2.621922E7,1199.397,1199.397,0.001691301,1.0,0.9124755,1.88289E-4,3.942563E-6,1.85766E-4,1.60788E-5,5.792279E-8,2.440143E-4,1.341925E-9,0.02843972,1.691052E-4,4.682114E-6,2.593652E-5,0.04187283,0.01628808,6.486199E-5,9.851714E-9,1.314196E-6,1.04958E-7,6.005884E-6,4.385083E-8,10.60581,1.077613E-4,668542.6,668542.6
2.0E-4,15.69392,-1.283232E7,1199.063,1199.063,0.001691301,1.0,0.9119601,4.077429E-4,1.047896E-5,4.998965E-4,4.325004E-5,3.96173E-7,6.571086E-4,1.000481E-8,0.02838543,2.405102E-4,1.329254E-5,6.925734E-5,0.04156628,0.01601913,7.773394E-5,6.418702E-8,3.890233E-6,3.034291E-7,2.801382E-5,1.275966E-7,10.60351,1.07768E-4,668397.5,668397.5
3.0E-4,15.69473,-8491388.0,1198.878,1198.878,0.001691301,1.0,0.9114319,6.277284E-4,1.745332E-5,8.293773E-4,7.179618E-5,1.069061E-6,0.001092305,2.844644E-8,0.02836311,2.613056E-4,2.360565E-5,1.146855E-4,0.04125527,0.01575118,7.867432E-5,1.709206E-7,6.777757E-6,5.441954E-7,5.339073E-5,2.324818E-7,10.60133,1.077624E-4,668259.9,668259.9
4.0E-4,15.69603,-7058249.0,1198.74,1198.74,0.001691301,1.0,0.9109081,8.445224E-4,2.450226E-5,0.00115474,1.000309E-4,2.047353E-6,0.001523998,5.689093E-8,0.02835535,2.685731E-4,3.504327E-5,1.595883E-4,0.04094848,0.01548904,7.764778E-5,3.26677E-7,9.725777E-6,8.147184E-7,7.539919E-5,3.541298E-7,10.59923,1.077534E-4,668127.4,668127.4
5.0E-4,15.69748,-6331025.0,1198.619,1198.619,0.001691301,1.0,0.9103913,0.001057727,3.15662E-5,0.001473105,1.27703E-4,3.301322E-6,0.001948264,9.537959E-8,0.02835574,2.720717E-4,4.726639E-5,2.035722E-4,0.04064707,0.01523313,7.633236E-5,5.281395E-7,1.267733E-5,1.110687E-6,9.318055E-5,4.908724E-7,10.59718,1.077435E-4,667998.5,667998.5
6.0E-4,15.69901,-5801773.0,1198.51,1198.51,0.001691301,1.0,0.9098819,0.001267431,3.86354E-5,0.001784308,1.547968E-4,4.806049E-6,0.002364765,1.439689E-7,0.02836167,2.740709E-4,6.002682E-5,2.466114E-4,0.04035099,0.01498327,7.501376E-5,7.725954E-7,1.561726E-5,1.42976E-6,1.072719E-4,6.417339E-7,10.59518,1.07733E-4,667872.7,667872.7
6.709079E-4,15.70012,-5480218.0,1198.438,1198.438,0.001691301,1.0,0.9095253,0.001414089,4.365037E-5,0.002000782,1.736698E-4,6.012966E-6,0.002655526,1.84573E-7,0.02836839,2.749408E-4,6.929527E-5,2.765749E-4,0.04014416,0.01480962,7.410413E-5,9.706799E-7,1.769148E-5,1.669023E-6,1.154033E-4,7.568435E-7,10.5938,1.077254E-4,667785.3,667785.3
6.813157E-4,15.70028,-5449269.0,1198.427,1198.427,0.001691301,1.0,0.9094733,0.001435476,4.438666E-5,0.002032271,1.764169E-4,6.19937E-6,0.002697892,1.909634E-7,0.02836952,2.750379E-4,7.066697E-5,2.809351E-4,0.04011402,0.01478438,7.397231E-5,1.001425E-6,1.79951E-5,1.705009E-6,1.164831E-4,7.742896E-7,10.5936,1.077243E-4,667772.6,667772.6
6.815016E-4,15.70029,-5439140.0,1198.427,1198.427,0.001691301,1.0,0.9094724,0.001435858,4.439981E-5,0.002032833,1.764659E-4,6.20272E-6,0.002698648,1.910785E-7,0.02836954,2.750396E-4,7.069149E-5,2.810129E-4,0.04011348,0.01478393,7.396994E-5,1.001978E-6,1.800052E-5,1.705654E-6,1.165021E-4,7.746025E-7,10.59359,1.077242E-4,667772.3,667772.3
6.832632E-4,15.70031,-5437102.0,1198.426,1198.426,0.001691301,1.0,0.9094636,0.001439475,4.452443E-5,0.002038156,1.769303E-4,6.234506E-6,0.002705811,1.921714E-7,0.02836974,2.750552E-4,7.092391E-5,2.817499E-4,0.04010838,0.01477966,7.394748E-5,1.007225E-6,1.805189E-5,1.711767E-6,1.166821E-4,7.775695E-7,10.59356,1.077241E-4,667770.2,667770.2
6.836432E-4,15.70032,-5445050.0,1198.425,1198.425,0.001691301,1.0,0.9094617,0.001440254,4.455132E-5,0.002039304,1.770304E-4,6.241371E-6,0.002707355,1.924075E-7,0.02836978,2.750585E-4,7.097405E-5,2.819088E-4,0.04010728,0.01477874,7.39426E-5,1.008359E-6,1.806297E-5,1.713086E-6,1.167208E-4,7.7821E-7,10.59355,1.07724E-4,667769.7,667769.7
6.837408E-4,15.70032,-5441759.0,1198.425,1198.425,0.001691301,1.0,0.9094612,0.001440455,4.455822E-5,0.002039599,1.770562E-4,6.243134E-6,0.002707752,1.924682E-7,0.02836979,2.750594E-4,7.098693E-5,2.819496E-4,0.040107,0.0147785,7.394134E-5,1.00865E-6,1.806581E-5,1.713425E-6,1.167307E-4,7.783745E-7,10.59355,1.07724E-4,667769.6,667769.6
6.838811E-4,15.70032,-5436254.0,1198.425,1198.425,0.001691301,1.0,0.9094605,0.001440743,4.456815E-5,0.002040023,1.770931E-4,6.245671E-6,0.002708323,1.925555E-7,0.02836981,2.750606E-4,7.100545E-5,2.820083E-4,0.0401066,0.01477816,7.393951E-5,1.009068E-6,1.80699E-5,1.713912E-6,1.16745E-4,7.786111E-7,10.59355,1.07724E-4,667769.4,667769.4
6.89381E-4,15.70041,-5400215.0,1198.42,1198.42,0.001691301,1.0,0.9094331,0.001452026,4.495725E-5,0.002056624,1.785417E-4,6.345435E-6,0.002730668,1.959927E-7,0.02837042,2.751079E-4,7.173164E-5,2.843073E-4,0.0400907,0.01476485,7.387045E-5,1.025546E-6,1.823023E-5,1.733048E-6,1.173008E-4,7.879063E-7,10.59344,1.077234E-4,667762.7,667762.7
7.0E-4,15.70058,-5354124.0,1198.409,1198.409,0.001691301,1.0,0.9093801,0.00147378,4.570851E-5,0.002088614,1.813335E-4,6.540033E-6,0.002773744,2.027248E-7,0.02837164,2.751935E-4,7.313572E-5,2.887378E-4,0.04006004,0.01473921,7.373774E-5,1.057721E-6,1.853959E-5,1.770179E-6,1.183508E-4,8.059724E-7,10.59323,1.077222E-4,667749.8,667749.8
7.747695E-4,15.70178,-5060166.0,1198.339,1198.339,0.001691301,1.0,0.9090099,0.001625964,5.099941E-5,0.00231183,2.008272E-4,7.974315E-6,0.003074824,2.533103E-7,0.02838109,2.756148E-4,8.307606E-5,3.196642E-4,0.03984572,0.01456035,7.281381E-5,1.296138E-6,2.07111E-5,2.037698E-6,1.250266E-4,9.370997E-7,10.59181,1.07714E-4,667659.7,667659.8
7.801668E-4,15.70186,-5048358.0,1198.334,1198.334,0.001691301,1.0,0.9089833,0.001636882,5.138143E-5,0.002327805,2.022232E-4,8.082167E-6,0.003096405,2.571822E-7,0.02838182,2.756333E-4,8.379661E-5,3.218781E-4,0.03983035,0.01454755,7.274755E-5,1.314156E-6,2.086737E-5,2.057419E-6,1.254621E-4,9.468324E-7,10.5917,1.077134E-4,667653.3,667653.3
7.811125E-4,15.70188,-5056398.0,1198.333,1198.333,0.001691301,1.0,0.9089786,0.001638794,5.144837E-5,0.002330603,2.024676E-4,8.101124E-6,0.003100185,2.578637E-7,0.02838195,2.756363E-4,8.39229E-5,3.222658E-4,0.03982766,0.01454531,7.273579E-5,1.317324E-6,2.089475E-5,2.06088E-6,1.255378E-4,9.485415E-7,10.59169,1.077133E-4,667652.2,667652.2
7.812775E-4,15.70188,-5047490.0,1198.333,1198.333,0.001691301,1.0,0.9089778,0.001639127,5.146005E-5,0.002331091,2.025103E-4,8.104433E-6,0.003100844,2.579827E-7,0.02838198,2.756368E-4,8.394493E-5,3.223334E-4,0.03982719,0.01454492,7.273371E-5,1.317877E-6,2.089953E-5,2.061484E-6,1.255509E-4,9.488397E-7,10.59168,1.077133E-4,667652.0,667652.0
7.819574E-4,15.70189,-5050096.0,1198.332,1198.332,0.001691301,1.0,0.9089745,0.001640502,5.150817E-5,0.002333102,2.02686E-4,8.118073E-6,0.00310356,2.584733E-7,0.02838207,2.75639E-4,8.403572E-5,3.22612E-4,0.03982526,0.01454331,7.272534E-5,1.320157E-6,2.09192E-5,2.063973E-6,1.256052E-4,9.500691E-7,10.59167,1.077132E-4,667651.2,667651.2
7.820534E-4,15.70189,-5059832.0,1198.332,1198.332,0.001691301,1.0,0.908974,0.001640696,5.151497E-5,0.002333386,2.027108E-4,8.119999E-6,0.003103944,2.585426E-7,0.02838208,2.756393E-4,8.404854E-5,3.226513E-4,0.03982498,0.01454309,7.272416E-5,1.320479E-6,2.092198E-5,2.064325E-6,1.256129E-4,9.502427E-7,10.59167,1.077132E-4,667651.1,667651.1
7.821128E-4,15.7019,-5026458.0,1198.332,1198.332,0.001691301,1.0,0.9089737,0.001640816,5.151917E-5,0.002333561,2.027261E-4,8.121191E-6,0.003104181,2.585855E-7,0.02838209,2.756395E-4,8.405647E-5,3.226757E-4,0.03982481,0.01454295,7.272342E-5,1.320678E-6,2.09237E-5,2.064542E-6,1.256176E-4,9.503502E-7,10.59167,1.077132E-4,667651.0,667651.0
7.824541E-4,15.7019,-5027318.0,1198.332,1198.332,0.001691301,1.0,0.908972,0.001641506,5.154334E-5,0.002334571,2.028143E-4,8.128045E-6,0.003105545,2.58832E-7,0.02838214,2.756406E-4,8.410206E-5,3.228156E-4,0.03982384,0.01454214,7.271921E-5,1.321824E-6,2.093358E-5,2.065793E-6,1.256448E-4,9.509678E-7,10.59166,1.077132E-4,667650.6,667650.6
