Time_Soln#20 (sec),Volume_Soln#20 (cm3),Volumetric_heat_production_rate_Soln#20 (erg/cm3-sec),Surface_temperature_Soln#20 (K),Temperature_Soln#20 (K),Mass_Soln#20 (g),Pressure_Soln#20 (atm),Mole_fraction_H2_Soln#20 (),Mole_fraction_H_Soln#20 (),Mole_fraction_CH4_Soln#20 (),Mole_fraction_CH3_Soln#20 (),Mole_fraction_C2H4_Soln#20 (),Mole_fraction_C2H2_Soln#20 (),Mole_fraction_C3H4-P_Soln#20 (),Mole_fraction_C3H3_Soln#20 (),Mole_fraction_C4H2_Soln#20 (),Mole_fraction_C6H6_Soln#20 (),Mole_fraction_C10H8_Soln#20 (),Mole_fraction_C7H8_Soln#20 (),Mole_fraction_C7H7_Soln#20 (),Mole_fraction_BENZYNE_Soln#20 (),Mole_fraction_C6H5C2H_Soln#20 (),Mole_fraction_C6H5C2H3_Soln#20 (),Mole_fraction_C6H5C2H5_Soln#20 (),Mole_fraction_C12H8_Soln#20 (),Mole_fraction_C14H10_Soln#20 (),Mole_fraction_BIN1B_Soln#20 (),Molecular_weight_Soln#20 (g/mole),Mass_density_Soln#20 (g/cm3),Unburned_hydrocarbons_Soln#20 (ppm),Volatile_organic_compounds_Soln#20 (ppm)
0.0,15.7,-5.827864E11,1950.0,1950.0,0.001040801,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,0.0,0.0,10.60769,6.629305E-5,668660.8,668660.8
3.150776E-10,15.69977,-5.826854E11,1949.952,1949.952,0.001040801,1.0,0.9128452,8.187589E-7,3.013644E-9,7.477106E-6,2.721508E-9,5.125587E-8,9.438138E-13,6.104054E-11,2.986816E-12,5.102903E-8,8.665265E-18,0.02851649,8.102816E-6,3.010107E-10,2.302829E-9,0.04210746,0.01651411,1.428659E-19,1.328648E-12,1.33427E-23,10.60758,6.629401E-5,668654.1,668654.1
8.648155E-9,15.69376,-5.76116E11,1948.686,1948.686,0.001040801,1.0,0.9126464,2.509321E-5,2.221342E-6,2.009777E-4,3.267556E-7,1.640687E-6,9.177391E-10,4.538524E-8,3.833694E-9,1.596581E-6,1.486853E-13,0.02849076,2.197638E-4,2.230289E-7,1.218438E-6,0.04213755,0.01626767,2.756427E-15,1.053379E-9,5.768813E-18,10.60476,6.631942E-5,668476.1,668476.1
4.817002E-8,15.66641,-5.363534E11,1942.932,1942.932,0.001040801,1.0,0.911705,1.701877E-4,6.401395E-5,0.001015762,1.098042E-5,1.194777E-5,5.489316E-8,1.348191E-6,2.979441E-7,1.675445E-5,2.867365E-11,0.02835832,0.001160909,6.564928E-6,1.744425E-5,0.04225363,0.01516798,4.459737E-13,4.085346E-8,6.72137E-15,10.5919,6.64352E-5,667665.7,667665.7
2.258708E-7,15.56572,-3.957474E11,1921.459,1921.459,0.001040801,1.0,0.9076778,9.506377E-4,0.001041649,0.003205577,2.952635E-4,1.40741E-4,2.313359E-6,2.777958E-5,1.701279E-5,3.837827E-4,1.475114E-8,0.02751626,0.004464038,1.116873E-4,2.362146E-4,0.0422131,0.01128989,4.874924E-11,1.467451E-6,1.212113E-11,10.5426,6.686495E-5,664558.0,664558.1
2.725688E-7,15.5448,-3.639865E11,1916.835,1916.835,0.001040801,1.0,0.9066849,0.001126645,0.001411648,0.003521896,4.301975E-4,2.027684E-4,3.508524E-6,4.058481E-5,2.666912E-5,5.797731E-4,3.333435E-8,0.0272423,0.005140411,1.515299E-4,3.305033E-4,0.04206644,0.010488,1.064644E-10,2.260596E-6,3.165524E-11,10.53138,6.695493E-5,663850.9,663851.0
2.838962E-7,15.54005,-3.56507E11,1915.771,1915.771,0.001040801,1.0,0.9064485,0.001165909,0.001505542,0.00358779,4.65939E-4,2.195475E-4,3.833884E-6,4.406635E-5,2.932336E-5,6.334309E-4,3.9757E-8,0.02717397,0.005294344,1.615677E-4,3.552045E-4,0.04202392,0.01030434,1.281062E-10,2.479286E-6,3.894421E-11,10.52876,6.69754E-5,663685.4,663685.5
2.997745E-7,15.53359,-3.461731E11,1914.318,1914.318,0.001040801,1.0,0.9061201,0.001218593,0.001639457,0.003673811,5.178232E-4,2.441563E-4,4.312642E-6,4.918783E-5,3.323752E-5,7.124923E-4,5.029544E-8,0.02707725,0.005503718,1.758197E-4,3.90909E-4,0.04196013,0.0100536,1.654877E-10,2.802551E-6,5.133817E-11,10.52514,6.700322E-5,663457.3,663457.4
4.143853E-7,15.49376,-2.772204E11,1905.041,1905.041,0.001040801,1.0,0.9038532,0.001517999,0.0026634,0.00411574,9.413928E-4,4.551445E-4,8.517498E-6,9.374426E-5,6.733423E-5,0.001401084,2.002863E-7,0.02636515,0.006808807,2.81544E-4,6.780322E-4,0.04137883,0.008451409,8.874674E-10,5.661414E-6,2.573053E-10,10.50107,6.717549E-5,661939.9,661940.0
4.192446E-7,15.49231,-2.745348E11,1904.693,1904.693,0.001040801,1.0,0.9037612,0.00152769,0.002708358,0.004128752,9.608188E-4,4.652169E-4,8.723832E-6,9.589265E-5,6.897568E-5,0.001434256,2.103644E-7,0.026335,0.00685665,2.860311E-4,6.91073E-4,0.04135033,0.008390764,9.459235E-10,5.800904E-6,2.723185E-10,10.50012,6.718175E-5,661880.4,661880.6
