Time_Soln#30 (sec),Volume_Soln#30 (cm3),Volumetric_heat_production_rate_Soln#30 (erg/cm3-sec),Surface_temperature_Soln#30 (K),Temperature_Soln#30 (K),Mass_Soln#30 (g),Pressure_Soln#30 (atm),Mole_fraction_H2_Soln#30 (),Mole_fraction_H_Soln#30 (),Mole_fraction_CH4_Soln#30 (),Mole_fraction_CH3_Soln#30 (),Mole_fraction_C2H4_Soln#30 (),Mole_fraction_C2H2_Soln#30 (),Mole_fraction_C3H4-P_Soln#30 (),Mole_fraction_C3H4-A_Soln#30 (),Mole_fraction_C3H3_Soln#30 (),Mole_fraction_C4H4_Soln#30 (),Mole_fraction_C4H2_Soln#30 (),Mole_fraction_C6H6_Soln#30 (),Mole_fraction_C10H8_Soln#30 (),Mole_fraction_C7H8_Soln#30 (),Mole_fraction_C7H7_Soln#30 (),Mole_fraction_BENZYNE_Soln#30 (),Mole_fraction_C6H5C2H_Soln#30 (),Mole_fraction_C6H5C2H3_Soln#30 (),Mole_fraction_C6H5C2H5_Soln#30 (),Mole_fraction_BIN1B_Soln#30 (),Molecular_weight_Soln#30 (g/mole),Mass_density_Soln#30 (g/cm3),Unburned_hydrocarbons_Soln#30 (ppm),Volatile_organic_compounds_Soln#30 (ppm)
0.0,15.7,-7.38325E12,2450.0,2450.0,8.283925E-4,1.0,0.9128527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02851745,0.0,0.0,0.0,0.0421063,0.01652353,0.0,10.60769,5.276385E-5,668660.8,668660.8
1.869986E-11,15.69987,-7.385989E12,2449.956,2449.956,8.283925E-4,1.0,0.9128469,2.448715E-6,2.507382E-10,4.077975E-6,3.85385E-9,1.087644E-7,2.053246E-11,4.530477E-15,1.515495E-10,1.394059E-10,5.070987E-12,1.083121E-7,1.73187E-17,0.02851688,4.22441E-6,1.805439E-10,2.792303E-9,0.04210672,0.01651622,5.215494E-24,10.60758,5.276428E-5,668654.3,668654.3
4.61305E-10,15.69686,-7.406549E12,2448.923,2448.923,8.283925E-4,1.0,0.912708,6.237226E-5,1.509492E-7,9.988067E-5,1.299693E-7,2.956704E-6,1.238056E-8,7.971419E-12,9.114073E-8,8.368236E-8,6.390189E-9,2.686997E-6,2.60094E-13,0.02850319,1.034002E-4,1.086301E-7,1.646497E-6,0.04211677,0.0163444,1.663005E-18,10.60515,5.277442E-5,668500.6,668500.6
2.223456E-9,15.68499,-7.378961E12,2444.811,2444.811,8.283925E-4,1.0,0.9121375,3.216937E-4,3.423487E-6,4.680123E-4,1.494568E-6,1.929013E-5,2.832532E-7,6.599437E-10,2.055747E-6,1.875765E-6,4.173152E-7,1.340593E-5,3.327837E-11,0.02844604,4.833819E-4,2.459201E-6,3.448171E-5,0.04214948,0.0156834,7.966187E-16,10.59534,5.281433E-5,667882.8,667882.8
1.406695E-8,15.61068,-6.622649E12,2418.513,2418.513,8.283925E-4,1.0,0.9081753,0.002281503,1.17589E-4,0.002483276,5.196814E-5,2.857901E-4,1.058506E-5,1.432729E-7,6.919764E-5,5.930282E-5,4.682954E-5,1.226593E-4,1.103603E-8,0.02795176,0.002538917,8.359451E-5,7.638661E-4,0.04208327,0.01204931,7.101196E-13,10.53127,5.306574E-5,663843.7,663843.7
1.72228E-8,15.59234,-6.375765E12,2412.06,2412.06,8.283925E-4,1.0,0.9071747,0.002766985,1.696756E-4,0.002912842,7.689728E-5,3.880632E-4,1.558066E-5,2.577898E-7,9.953853E-5,8.372265E-5,7.32631E-5,1.636105E-4,2.056942E-8,0.02779135,0.00297195,1.201979E-4,0.001003075,0.04200164,0.01127414,1.434759E-12,10.51553,5.312817E-5,662851.4,662851.4
1.828401E-8,15.5863,-6.293815E12,2409.945,2409.945,8.283925E-4,1.0,0.9068467,0.002923176,1.8884E-4,0.003049161,8.62244E-5,4.244386E-4,1.744656E-5,3.06457E-7,1.106699E-4,9.250504E-5,8.330647E-5,1.783576E-4,2.470637E-8,0.02773519,0.003108911,1.335993E-4,0.001083457,0.04196954,0.01102841,1.764942E-12,10.51038,5.314876E-5,662527.1,662527.1
2.006352E-8,15.57631,-6.158512E12,2406.462,2406.462,8.283925E-4,1.0,0.9063067,0.003176784,2.227021E-4,0.003269244,1.028617E-4,4.874142E-4,2.077218E-5,4.006145E-7,1.302976E-4,1.077845E-4,1.013563E-4,2.041047E-4,3.28279E-8,0.02763872,0.003329508,1.571895E-4,0.001217485,0.04191095,0.01063206,2.434242E-12,10.50192,5.318285E-5,661993.6,661993.6
2.05362E-8,15.57369,-6.12309E12,2405.549,2405.549,8.283925E-4,1.0,0.9061653,0.003242386,2.320457E-4,0.003325985,1.074832E-4,5.045337E-4,2.169542E-5,4.283829E-7,1.357045E-4,1.119501E-4,1.063949E-4,2.111487E-4,3.524999E-8,0.02761264,0.00338627,1.636785E-4,0.00125287,0.04189443,0.01052997,2.638543E-12,10.4997,5.319181E-5,661854.1,661854.1
2.099962E-8,15.57113,-6.088594E12,2404.66,2404.66,8.283925E-4,1.0,0.9060275,0.003305981,2.413436E-4,0.003380936,1.120937E-4,5.214691E-4,2.261626E-5,4.567691E-7,1.41081E-4,1.160744E-4,1.114306E-4,2.18135E-4,3.773791E-8,0.0275869,0.003441195,1.701269E-4,0.001287456,0.04187786,0.01043113,2.850423E-12,10.49755,5.320055E-5,661718.1,661718.1
